pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool
NZDUSD=X|AUDUSD=X,NZDUSD=X,AUDUSD=X,0.16340742797069296,-2.8071908625654958,41.860586861212695,3806,2020-12-31,True,fx_majors
AUDUSD=X|EURUSD=X,AUDUSD=X,EURUSD=X,0.5133888846957264,-2.0291635691081855,20.95151858679537,3790,2020-12-31,True,fx_majors
AUDUSD=X|GBPUSD=X,AUDUSD=X,GBPUSD=X,0.5167845200299539,-2.0226526246813776,57.06550254668642,3802,2020-12-31,True,fx_majors
USDCHF=X|AUDUSD=X,USDCHF=X,AUDUSD=X,0.5268143501261708,-2.0033921113893594,22.58500362808221,3804,2020-12-31,True,fx_majors
AUDUSD=X|USDJPY=X,AUDUSD=X,USDJPY=X,0.12075890245849491,-2.9570973927788113,33.48438059175787,3790,2020-12-31,True,fx_majors
NZDUSD=X|EURUSD=X,NZDUSD=X,EURUSD=X,0.23501307691053858,-2.6045186545134666,32.02332245315412,4414,2020-12-31,True,fx_majors
NZDUSD=X|GBPUSD=X,NZDUSD=X,GBPUSD=X,0.19784742507347308,-2.7048269207919082,48.948810135457784,4427,2020-12-31,True,fx_majors
NZDUSD=X|USDCHF=X,NZDUSD=X,USDCHF=X,0.14822485397509738,-2.856985512821825,37.44830830384355,4428,2020-12-31,True,fx_majors
NZDUSD=X|USDJPY=X,NZDUSD=X,USDJPY=X,0.1519821585744051,-2.844345001557647,36.57627878452906,4415,2020-12-31,True,fx_majors
EURUSD=X|GBPUSD=X,EURUSD=X,GBPUSD=X,0.36846492029502165,-2.3102188130053447,25.9586628373741,4425,2020-12-31,True,fx_majors
USDCHF=X|EURUSD=X,USDCHF=X,EURUSD=X,0.43766626009167015,-2.1742750373447457,15.888572762598795,4427,2020-12-31,True,fx_majors
EURUSD=X|USDJPY=X,EURUSD=X,USDJPY=X,0.42451408387830925,-2.1997080221314333,38.22293863919112,4429,2020-12-31,True,fx_majors
USDCHF=X|GBPUSD=X,USDCHF=X,GBPUSD=X,0.11230348264455386,-2.9912357090598563,31.478124691266938,4439,2020-12-31,True,fx_majors
USDJPY=X|GBPUSD=X,USDJPY=X,GBPUSD=X,0.7864562545701628,-1.4316570521649021,34.19310324969013,4426,2020-12-31,True,fx_majors
USDCHF=X|USDJPY=X,USDCHF=X,USDJPY=X,0.5733153432820028,-1.9131644195280502,28.58300896844285,4480,2020-12-31,True,fx_majors
