pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool
BBVA.MC|SAN.MC,BBVA.MC,SAN.MC,0.5267453036059943,-2.003524871387594,43.80458849524762,5653,2021-12-31,True,MC.es_banks
SAN.MC|CABK.MC,SAN.MC,CABK.MC,0.19058396060145727,-2.725378853583305,38.67125144347975,3634,2021-12-31,True,MC.es_banks
SAN.MC|SAB.MC,SAN.MC,SAB.MC,0.15543472944523473,-2.832920052553503,54.4975518592907,5653,2021-12-31,True,MC.es_banks
SAN.MC|BKT.MC,SAN.MC,BKT.MC,0.1376028120353,-2.8939850160136054,31.728996657798653,5653,2021-12-31,True,MC.es_banks
BBVA.MC|CABK.MC,BBVA.MC,CABK.MC,0.12344169872900046,-2.946634326334485,41.00150053726973,3634,2021-12-31,True,MC.es_banks
BBVA.MC|SAB.MC,BBVA.MC,SAB.MC,0.0646474914126066,-3.2325720043259034,53.0477940886991,5653,2021-12-31,True,MC.es_banks
BBVA.MC|BKT.MC,BBVA.MC,BKT.MC,0.1194677358375219,-2.9621938635716356,30.9469084961814,5653,2021-12-31,True,MC.es_banks
CABK.MC|SAB.MC,CABK.MC,SAB.MC,0.4414174886833071,-2.1670441027825573,61.670152502434206,3634,2021-12-31,True,MC.es_banks
CABK.MC|BKT.MC,CABK.MC,BKT.MC,0.2548785915626841,-2.556158294530548,59.19463579819519,3634,2021-12-31,True,MC.es_banks
BKT.MC|SAB.MC,BKT.MC,SAB.MC,0.2112849833318438,-2.6680355662841166,23.77085429339909,5653,2021-12-31,True,MC.es_banks
IBE.MC|ELE.MC,IBE.MC,ELE.MC,0.1821897062697589,-2.7497730977364916,29.767782135083444,5653,2021-12-31,True,MC.es_utilities
RED.MC|IBE.MC,RED.MC,IBE.MC,0.6460898074781134,-1.765990422276385,29.864005460534152,5653,2021-12-31,True,MC.es_utilities
RED.MC|ELE.MC,RED.MC,ELE.MC,0.23143127352114357,-2.6134870211754317,27.584007415444354,5653,2021-12-31,True,MC.es_utilities
UCG.MI|ISP.MI,UCG.MI,ISP.MI,5.762235836671163e-06,-5.740660496255378,25.62837292507682,5627,2021-12-31,True,MI.it_banks
ISP.MI|BAMI.MI,ISP.MI,BAMI.MI,0.3460160293502291,-2.355899381739327,46.71995608212375,5627,2021-12-31,True,MI.it_banks
ISP.MI|BPE.MI,ISP.MI,BPE.MI,0.6942982173476193,-1.6613876104722725,29.65643828348402,6872,2021-12-31,True,MI.it_banks
BMPS.MI|ISP.MI,BMPS.MI,ISP.MI,0.3070067091562313,-2.4381476876670054,50.75459570625359,5762,2021-12-31,True,MI.it_banks
UCG.MI|BAMI.MI,UCG.MI,BAMI.MI,2.9050874576499813e-09,-7.196247171689382,37.533008060591186,5627,2021-12-31,True,MI.it_banks
UCG.MI|BPE.MI,UCG.MI,BPE.MI,4.0451686539162217e-07,-6.275137696525906,22.125693819270634,5627,2021-12-31,True,MI.it_banks
UCG.MI|BMPS.MI,UCG.MI,BMPS.MI,4.282107260616477e-06,-5.802259560677843,30.458982966980866,5627,2021-12-31,True,MI.it_banks
BPE.MI|BAMI.MI,BPE.MI,BAMI.MI,0.5917906443436312,-1.8766706573051957,60.02273316328143,5627,2021-12-31,True,MI.it_banks
BMPS.MI|BAMI.MI,BMPS.MI,BAMI.MI,0.004076093387900306,-4.168037885661565,65.42177035467782,5627,2021-12-31,True,MI.it_banks
BMPS.MI|BPE.MI,BMPS.MI,BPE.MI,0.12429115389716427,-2.943356083992097,57.96042226785696,5762,2021-12-31,True,MI.it_banks
TRN.MI|ENEL.MI,TRN.MI,ENEL.MI,0.6397951548546341,-1.7791461382320037,31.742621496083373,4460,2021-12-31,True,MI.it_regulated_utilities
SRG.MI|ENEL.MI,SRG.MI,ENEL.MI,0.659925265609526,-1.736707291223514,37.844819345634995,5124,2021-12-31,True,MI.it_regulated_utilities
SRG.MI|TRN.MI,SRG.MI,TRN.MI,0.019744505109418452,-3.6746810096757816,28.002763359655436,4460,2021-12-31,True,MI.it_regulated_utilities
ASML.AS|ASM.AS,ASML.AS,ASM.AS,0.017971914608622176,-3.70657262468338,36.77512432878974,5921,2021-12-31,True,AS.nl_semis
ASML.AS|BESI.AS,ASML.AS,BESI.AS,0.019681256014438153,-3.67577512765251,26.925690538697665,6043,2021-12-31,True,AS.nl_semis
ASM.AS|BESI.AS,ASM.AS,BESI.AS,0.1405633399713444,-2.8834750859530622,22.540978214092906,5921,2021-12-31,True,AS.nl_semis
BMW.DE|MBG.DE,BMW.DE,MBG.DE,0.4311323712378138,-2.186893172839585,32.445314144544646,6446,2021-12-31,True,DE.de_autos
BMW.DE|VOW3.DE,BMW.DE,VOW3.DE,0.2915709333610301,-2.4719657919455362,29.95462898945001,6003,2021-12-31,True,DE.de_autos
MBG.DE|VOW3.DE,MBG.DE,VOW3.DE,0.4617314724375269,-2.128020679147274,44.27117367066792,6003,2021-12-31,True,DE.de_autos
RMS.PA|MC.PA,RMS.PA,MC.PA,0.0659970729585142,-3.2240501087730173,46.84712164158484,5658,2021-12-31,True,PA.fr_luxury
KER.PA|MC.PA,KER.PA,MC.PA,0.1494298412323996,-2.852907499667249,38.22544365788908,5658,2021-12-31,True,PA.fr_luxury
OR.PA|MC.PA,OR.PA,MC.PA,0.09358978418864505,-3.074263641596514,31.053246666011137,5658,2021-12-31,True,PA.fr_luxury
RMS.PA|KER.PA,RMS.PA,KER.PA,0.2292245884344596,-2.6211098182293,45.930904972875034,5658,2021-12-31,True,PA.fr_luxury
RMS.PA|OR.PA,RMS.PA,OR.PA,0.22391422417967388,-2.634760650963748,35.03172884256031,5658,2021-12-31,True,PA.fr_luxury
KER.PA|OR.PA,KER.PA,OR.PA,0.04902130110171672,-3.343528356123807,50.42035991043263,5658,2021-12-31,True,PA.fr_luxury
