rebalance_date,effective_date,pair_id,pool,pvalue,rank
1994-12-30,1995-01-03,UDR|CPT,apartments,0.0008707263033741548,1
1995-03-31,1995-04-03,MAA|UDR,apartments,0.005987771211141968,1
1995-03-31,1995-04-03,MAA|CPT,apartments,0.009278201625786854,2
1995-06-30,1995-07-03,MAA|UDR,apartments,0.0012267473004308306,1
1995-06-30,1995-07-03,MAA|ESS,apartments,0.006352178209256231,2
1995-09-29,1995-10-02,MAA|UDR,apartments,0.009121495036129272,1
1995-09-29,1995-10-02,MAA|CPT,apartments,0.024837204133217043,2
1995-12-29,1996-01-02,UDR|ESS,apartments,0.03535175984264095,1
1996-03-29,1996-04-01,UDR|CPT,apartments,2.3648930333671982e-07,1
1996-03-29,1996-04-01,NNN|O,net_lease,0.025471739004705205,2
1996-03-29,1996-04-01,NNN|ADC,net_lease,0.0258508639477186,3
1996-03-29,1996-04-01,UDR|MAA,apartments,0.04883955572852549,4
1996-06-28,1996-07-01,UDR|CPT,apartments,0.0005325773690657974,1
1996-06-28,1996-07-01,EGP|FR,industrial,0.005130017857473318,2
1996-06-28,1996-07-01,OHI|WELL,healthcare,0.030496902019460613,3
1996-09-30,1996-10-01,OHI|WELL,healthcare,0.0002968759329617705,1
1996-09-30,1996-10-01,ADC|NNN,net_lease,0.03350332352261284,2
1996-12-31,1997-01-02,FR|EGP,industrial,0.0015129098895748621,1
1996-12-31,1997-01-02,WELL|OHI,healthcare,0.0048543737583207364,2
1996-12-31,1997-01-02,CPT|ESS,apartments,0.019026246734085064,3
1996-12-31,1997-01-02,ADC|NNN,net_lease,0.03376618154563204,4
1997-03-31,1997-04-01,ADC|NNN,net_lease,0.0004864989195338745,1
1997-03-31,1997-04-01,ADC|O,net_lease,0.0015284653669495184,2
1997-03-31,1997-04-01,CPT|ESS,apartments,0.04637184256857504,3
1997-12-31,1998-01-02,O|ADC,net_lease,0.04942206668848098,1
1998-03-31,1998-04-01,ADC|NNN,net_lease,0.00046632397720490373,1
1998-03-31,1998-04-01,UDR|CPT,apartments,0.011355599311963557,2
1998-03-31,1998-04-01,UDR|MAA,apartments,0.03749430074461304,3
1998-03-31,1998-04-01,O|NNN,net_lease,0.04969620803508794,4
1998-06-30,1998-07-01,WELL|OHI,healthcare,0.009608863666891449,1
1998-06-30,1998-07-01,O|NNN,net_lease,0.014589226982330946,2
1998-06-30,1998-07-01,O|ADC,net_lease,0.014641448880436636,3
1998-06-30,1998-07-01,UDR|ESS,apartments,0.031602481312446126,4
1998-06-30,1998-07-01,UDR|MAA,apartments,0.03847102018446167,5
1998-09-30,1998-10-01,O|NNN,net_lease,0.00034715459319178363,1
1998-09-30,1998-10-01,EGP|FR,industrial,0.0008818383847683111,2
1998-09-30,1998-10-01,MAA|ESS,apartments,0.0011944445682171981,3
1998-09-30,1998-10-01,WELL|OHI,healthcare,0.0019633483831909574,4
1998-09-30,1998-10-01,NNN|ADC,net_lease,0.0033487254600529917,5
1998-09-30,1998-10-01,ESS|CPT,apartments,0.04402164554235578,6
1998-12-31,1999-01-04,CPT|UDR,apartments,5.011430015495288e-05,1
1998-12-31,1999-01-04,O|NNN,net_lease,0.0017091069872680778,2
1998-12-31,1999-01-04,EGP|FR,industrial,0.0018977604983023205,3
1998-12-31,1999-01-04,MAA|UDR,apartments,0.006898063670493939,4
1998-12-31,1999-01-04,O|ADC,net_lease,0.01769704400514922,5
1998-12-31,1999-01-04,PLD|EGP,industrial,0.033311618600619854,6
1999-03-31,1999-04-01,CPT|UDR,apartments,2.6076771763078262e-05,1
1999-03-31,1999-04-01,MAA|CPT,apartments,0.0007423073351989611,2
1999-03-31,1999-04-01,NNN|WPC,net_lease,0.004241408989559296,3
1999-03-31,1999-04-01,OHI|VTR,healthcare,0.021577383729625296,4
1999-03-31,1999-04-01,NNN|O,net_lease,0.03141911754177479,5
1999-06-30,1999-07-01,CPT|UDR,apartments,0.0019888296505913773,1
1999-06-30,1999-07-01,FR|EGP,industrial,0.011405937344583034,2
1999-06-30,1999-07-01,NNN|O,net_lease,0.024193682384648266,3
1999-06-30,1999-07-01,MAA|UDR,apartments,0.03168403217618961,4
1999-06-30,1999-07-01,WELL|VTR,healthcare,0.03339957754812139,5
1999-06-30,1999-07-01,ADC|NNN,net_lease,0.049977564384162364,6
1999-09-30,1999-10-01,CPT|UDR,apartments,0.00014953604808215268,1
1999-09-30,1999-10-01,UDR|ESS,apartments,0.002953651677791592,2
1999-09-30,1999-10-01,FR|EGP,industrial,0.005889321640587975,3
1999-09-30,1999-10-01,CCI|AMT,towers,0.01309389469954887,4
1999-09-30,1999-10-01,PLD|FR,industrial,0.037192129045500184,5
1999-12-31,2000-01-03,WPC|ADC,net_lease,0.0080084496112889,1
1999-12-31,2000-01-03,WPC|NNN,net_lease,0.011123235293171682,2
2000-03-31,2000-04-03,WPC|NNN,net_lease,1.2010281077304885e-07,1
2000-03-31,2000-04-03,WPC|ADC,net_lease,4.954157574874075e-07,2
2000-03-31,2000-04-03,CPT|UDR,apartments,0.0006890255709727839,3
2000-03-31,2000-04-03,CPT|MAA,apartments,0.0037349561645925915,4
2000-03-31,2000-04-03,VTR|OHI,healthcare,0.005827668656015561,5
2000-03-31,2000-04-03,CCI|AMT,towers,0.0074549944980726755,6
2000-06-30,2000-07-03,WPC|NNN,net_lease,1.1214100088905095e-06,1
2000-06-30,2000-07-03,WPC|ADC,net_lease,1.2216171568149481e-05,2
2000-06-30,2000-07-03,MAA|ESS,apartments,0.006023002106693797,3
2000-06-30,2000-07-03,CCI|AMT,towers,0.018346009938994497,4
2000-06-30,2000-07-03,VTR|OHI,healthcare,0.043822388178488964,5
2000-09-29,2000-10-02,MAA|CPT,apartments,4.284524622715254e-06,1
2000-09-29,2000-10-02,MAA|ESS,apartments,0.0017920555621325676,2
2000-09-29,2000-10-02,WPC|NNN,net_lease,0.0022705929912641473,3
2000-09-29,2000-10-02,WPC|ADC,net_lease,0.0026027433153731887,4
2000-09-29,2000-10-02,CCI|AMT,towers,0.002776754340236236,5
2000-09-29,2000-10-02,WELL|VTR,healthcare,0.017046269226408468,6
2000-12-29,2001-01-02,AMT|CCI,towers,0.0001751731092466747,1
2000-12-29,2001-01-02,SBAC|CCI,towers,0.0032053377841800984,2
2000-12-29,2001-01-02,PLD|FR,industrial,0.014000115458250025,3
2000-12-29,2001-01-02,UDR|MAA,apartments,0.033863522119368265,4
2000-12-29,2001-01-02,WPC|O,net_lease,0.03916820809036619,5
2000-12-29,2001-01-02,WPC|NNN,net_lease,0.040422304799383364,6
2001-03-30,2001-04-02,CCI|AMT,towers,0.01234434313068657,1
2001-03-30,2001-04-02,AMT|SBAC,towers,0.019619716153109073,2
2001-03-30,2001-04-02,PLD|FR,industrial,0.031937243602311614,3
2001-06-29,2001-07-02,SBAC|AMT,towers,0.00032133941065391324,1
2001-06-29,2001-07-02,ESS|UDR,apartments,0.009069939314833762,2
2001-06-29,2001-07-02,SBAC|CCI,towers,0.014860859819803665,3
2001-09-28,2001-10-01,SBAC|AMT,towers,0.00048006400755905624,1
2001-09-28,2001-10-01,O|ADC,net_lease,0.03440139285504489,2
2001-09-28,2001-10-01,SBAC|CCI,towers,0.035839437753825504,3
2001-09-28,2001-10-01,NNN|ADC,net_lease,0.03726215367360826,4
2001-12-31,2002-01-02,VTR|WELL,healthcare,0.008620111918986885,1
2001-12-31,2002-01-02,ADC|NNN,net_lease,0.0151757541480266,2
2001-12-31,2002-01-02,CPT|MAA,apartments,0.01610743347525301,3
2001-12-31,2002-01-02,NNN|O,net_lease,0.0319061229333144,4
